"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"            Unemployed","227,133","±8,123","70,398","±4,882","31.0%","±1.8"
"                Male","121,870","±6,682","33,494","±3,550","27.5%","±2.3"
"                Female","105,263","±4,629","36,904","±3,311","35.1%","±2.6"
"    WORK EXPERIENCE","","","","","",""
"        Population 16 years and over","8,120,124","±5,132","1,001,107","±19,886","12.3%","±0.2"
"            Worked full-time, year-round in the past 12 months","3,427,411","±21,101","85,877","±5,387","2.5%","±0.2"
"            Worked part-time or part-year in the past 12 months","1,855,569","±18,880","309,079","±11,312","16.7%","±0.6"
"            Did not work","2,837,144","±19,450","606,151","±15,165","21.4%","±0.5"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","649,581","±24,773","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,688,470","±30,276","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,068,153","±32,931","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","2,641,929","±38,643","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","2,905,601","±41,324","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","4,526,639","±41,998","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,007,576","±39,022","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,161,171","±34,113","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","2,137,429","±23,374","536,565","±14,009","25.1%","±0.6"
"    Male","1,049,303","±14,066","239,471","±9,083","22.8%","±0.8"
"    Female","1,088,126","±16,572","297,094","±8,926","27.3%","±0.8"
"    15 years","2,577","±916","2,535","±917","98.4%","±2.7"
"    16 to 17 years","7,987","±1,321","7,172","±1,265","89.8%","±4.4"
"    18 to 24 years","256,880","±9,210","113,554","±6,944","44.2%","±2.3"
"    25 to 34 years","421,073","±10,664","76,475","±5,266","18.2%","±1.2"
"    35 to 44 years","237,943","±9,384","50,975","±4,385","21.4%","±1.7"
"    45 to 54 years","223,122","±7,252","54,840","±4,576","24.6%","±1.9"
"    55 to 64 years","337,224","±9,935","89,322","±4,685","26.5%","±1.2"
"    65 to 74 years","342,944","±7,465","80,885","±3,890","23.6%","±1.1"
"    75 years and over","307,679","±6,746","60,807","±3,327","19.8%","±1.0"
"    Mean income deficit for unrelated individuals (dollars)","9,126","±135","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","879,373","±16,795","35,223","±3,750","4.0%","±0.4"
"    Worked less than full-time, year-round in the past 12 months","459,253","±12,134","166,425","±8,130","36.2%","±1.4"
"    Did not work","798,803","±14,644","334,917","±11,094","41.9%","±1.0"
"    Population in housing units for whom poverty status is determined","9,892,950","±3,434","1,313,475","±27,440","13.3%","±0.3"
