"Label (Grouping)","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Below poverty level!!Estimate","Michigan!!Below poverty level!!Margin of Error","Michigan!!Percent below poverty level!!Estimate","Michigan!!Percent below poverty level!!Margin of Error"
"            Worked part-time or part-year in the past 12 months","1,910,021","±22,327","339,181","±10,515","17.8%","±0.5"
"            Did not work","2,768,336","±17,503","580,529","±14,087","21.0%","±0.4"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","",""
"        50 percent of poverty level","632,834","±19,832","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","1,782,688","±30,630","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","2,184,825","±33,066","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","2,800,583","±31,081","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","3,059,063","±31,800","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","4,695,204","±33,617","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","6,115,871","±37,779","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","7,185,495","±35,490","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","2,039,076","±18,711","542,359","±10,329","26.6%","±0.5"
"    Male","1,004,896","±11,793","247,768","±7,977","24.7%","±0.7"
"    Female","1,034,180","±12,431","294,591","±6,367","28.5%","±0.5"
"    15 years","2,044","±629","1,945","±584","95.2%","±7.4"
"    16 to 17 years","7,216","±1,222","7,216","±1,222","100.0%","±1.7"
"    18 to 24 years","264,940","±7,805","133,636","±5,511","50.4%","±1.8"
"    25 to 34 years","379,054","±10,229","77,558","±5,266","20.5%","±1.2"
"    35 to 44 years","211,649","±6,665","49,766","±3,765","23.5%","±1.6"
"    45 to 54 years","260,611","±7,439","71,642","±4,450","27.5%","±1.5"
"    55 to 64 years","360,142","±7,893","104,222","±4,738","28.9%","±1.1"
"    65 to 74 years","284,507","±4,909","55,466","±3,085","19.5%","±1.0"
"    75 years and over","268,913","±5,407","40,908","±2,432","15.2%","±0.8"
"    Mean income deficit for unrelated individuals (dollars)","7,133","±94","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","795,545","±13,023","28,603","±2,566","3.6%","±0.3"
"    Worked less than full-time, year-round in the past 12 months","467,333","±10,842","200,589","±7,104","42.9%","±1.2"
"    Did not work","776,198","±9,959","313,167","±8,235","40.3%","±0.8"
